brand;categoria;denominazione;codice_listino;prezzo_listino;prezzo_codice;tipo;note
ARIEL;CALDAIE;"AURUM 24 kW + FALCON 9000";00.04.55.0;5550;4550;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"AURUM 28 kW + FALCON 9000";00.04.65.0;5650;4650;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"AURUM 35 kW + FALCON 9000";00.04.75.0;5750;4750;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"ECO WIND 24 kW + FALCON 9000";00.04.45.0;5450;4450;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"ECO WIND 28 kW + FALCON 9000";00.04.55.0;5550;4550;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"ECO WIND 35 kW + FALCON 9000";00.04.65.0;5650;4650;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"DESIGN 24 kW + FALCON 9000";00.04.75.0;5750;4750;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"DESIGN 28 kW + FALCON 9000";00.04.85.0;5850;4850;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"DESIGN 35 kW + FALCON 9000";00.04.95.0;5950;4950;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"WALL/INCASSO 24 kW + FALCON 9000";00.04.35.0;5350;4350;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"WALL SLIM 24 kW + FALCON 9000";00.04.90.0;5900;4900;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"WALL SLIM 35 kW + FALCON 9000";00.05.10.0;6100;5100;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"CAMERA APERTA 23 kW + FALCON 9000";00.03.80.0;4800;3800;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"SCALDABAGNO 14-17 LT + FALCON 9000";00.03.15.0;4150;3150;prodotto;"PDF caldaie+Falcon 9k"
ARIEL;CALDAIE;"ECO WIND EASY 24 kW PACCHETTO INSTALLATO";;3200;;prodotto;"PDF ECO WIND EASY"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS 9000BTU";00.02.95.0;3950;2950;prodotto;"PDF FALCON_MONO"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS 12000BTU";00.03.25.0;4250;3250;prodotto;"PDF FALCON_MONO"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS 18000BTU";00.03.65.0;4650;3650;prodotto;"PDF FALCON_MONO"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS 24000BTU";00.03.85.0;4850;3850;prodotto;"PDF FALCON_MONO"
ARIEL;CLIMATIZZATORI;"FALCON DUAL 9000+12000BTU";00.04.40.0;5400;4400;prodotto;"PDF FALCON_DUAL"
ARIEL;CLIMATIZZATORI;"FALCON TRIAL 9000+9000+12000BTU";00.05.45.0;6450;5450;prodotto;"PDF FALCON_TRIAL"
ARIEL;CLIMATIZZATORI;"A3ION QUADRAL 10000+10000+10000BTU";00.06.10.0;7100;6100;prodotto;"PDF A3ION"
ARIEL;CLIMATIZZATORI;"FLOOR ONE 12000BTU";00.03.99.0;5450;3990;prodotto;"PDF FLOOR_ONE"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 9000+9000 OMAGGIO BTU";00.04.40.0;5200;4400;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 12000+9000 OMAGGIO BTU";00.04.50.0;5500;4500;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 12000+12000 OMAGGIO BTU";00.04.65.0;5500;4650;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 18000+9000 OMAGGIO BTU";00.04.90.0;5900;4900;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 18000+12000 OMAGGIO BTU";00.04.95.0;5900;4950;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 18000+18000 OMAGGIO BTU";00.05.25.0;6000;5250;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 24000+9000 OMAGGIO BTU";00.05.35.0;6100;5350;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 24000+12000 OMAGGIO BTU";00.05.55.0;6100;5550;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 24000+18000 OMAGGIO BTU";00.05.65.0;6200;5650;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON MONO PLUS PROMO 1+1 24000+24000 OMAGGIO BTU";00.05.65.0;6250;5650;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON DUAL PROMO 1+1 9000+12000+9000 BTU";00.05.80.0;6650;5800;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON DUAL PROMO 1+1 9000+12000+18000 OMAGGIO BTU";00.06.40.0;6800;6400;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON DUAL PROMO 1+1 9000+12000+9000+12000 BTU";00.07.50.0;7500;7500;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON TRIAL PROMO 1+1 9000+9000+12000+9000 BTU";00.07.65.0;7700;7650;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON TRIAL PROMO 1+1 9000+9000+12000+18000 OMAGGIO BTU";00.07.85.0;7850;7850;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON TRIAL PROMO 1+1 9000+9000+12000+9000+12000 BTU";00.08.55.0;8550;8550;prodotto;"PDF promo 1+1"
ARIEL;CLIMATIZZATORI;"FALCON TRIAL PROMO 1+1 9000+9000+12000+9000+9000+12000 BTU";00.09.00.0;9000;9000;prodotto;"PDF promo 1+1"
